date,tot,male,female,gs,jh,hs,vt,sc,bs,ms,m,s,d,w,nm,moth,ai,asian,pi,bl,wh,roth,hisp,nhisp,ft,pt,alt20,a20,a30,a40,a50,a60,a70
1993-10,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0
1993-11,55,15,40,0,2,4,3,19,9,18,39,0,8,0,7,1,0,1,0,0,53,0,0,54,41,14,0,2,11,18,12,7,4
1993-12,77,19,58,0,2,8,3,28,12,24,55,0,10,2,9,1,0,1,0,0,75,0,0,76,57,20,0,3,16,27,15,10,5
1994-01,89,19,70,0,2,9,3,29,17,29,66,0,11,2,9,1,0,1,0,0,87,0,0,88,64,25,0,4,17,33,17,11,6
1994-02,97,20,77,0,2,11,3,32,20,29,73,0,12,2,9,1,0,1,0,0,95,0,0,96,69,28,0,4,20,35,18,13,6
1994-03,115,28,87,0,2,12,5,36,26,34,81,1,13,3,16,1,0,1,0,0,113,0,0,114,81,34,0,4,23,41,22,17,7
1994-04,135,32,103,0,2,14,9,39,30,41,93,1,16,4,20,1,0,1,0,0,133,0,0,134,96,39,0,5,26,50,25,21,7
1994-05,166,40,126,0,2,17,10,46,40,51,114,2,17,4,27,2,0,1,0,0,164,0,0,165,117,49,0,6,34,59,32,26,8
1994-06,211,50,161,0,2,27,10,60,49,63,151,3,19,6,30,2,0,1,0,0,209,0,0,210,155,56,0,6,41,70,50,32,10
1994-07,274,60,214,0,2,37,10,74,65,86,189,4,25,7,47,2,0,1,0,0,272,0,0,273,204,70,0,12,58,85,60,43,14
1994-08,343,66,277,0,2,46,12,96,83,104,225,7,35,8,66,2,0,1,0,4,337,0,1,341,261,82,0,20,83,104,69,50,15
1994-09,373,69,304,0,2,47,17,105,93,109,248,7,38,8,70,2,0,1,0,6,365,0,3,369,286,87,0,26,89,116,74,51,15
1994-10,392,72,320,0,2,50,18,109,100,113,260,8,38,10,74,2,0,2,0,6,383,0,3,388,301,91,1,28,94,122,77,51,17
1994-11,405,76,329,0,2,52,21,111,102,117,269,8,39,10,77,2,0,2,0,6,396,0,5,399,312,93,1,29,99,126,80,51,17
1994-12,427,81,346,0,2,55,22,122,106,120,287,8,41,10,79,2,0,2,0,6,418,0,6,420,330,97,1,29,103,136,86,53,17
1995-01,461,89,372,0,2,61,24,131,112,131,315,8,42,10,84,2,0,2,0,6,451,1,7,453,360,101,1,31,113,148,93,56,17
1995-02,488,93,395,0,2,63,26,140,121,136,332,9,44,11,90,2,0,2,0,7,477,1,7,480,382,106,1,33,124,156,97,57,18
1995-03,537,108,429,0,2,73,33,146,130,153,360,10,50,12,102,3,0,2,0,8,525,1,8,528,419,118,1,35,130,174,111,65,19
1995-04,561,112,449,0,2,78,36,156,131,158,374,10,53,12,109,3,0,2,0,9,548,1,8,552,438,123,1,37,136,185,113,67,20
1995-05,569,114,455,0,2,78,37,160,132,160,379,10,53,12,112,3,0,2,0,9,556,1,8,560,446,123,1,37,137,190,114,68,20
1995-06,588,120,468,0,2,79,38,164,137,168,393,10,53,13,116,3,0,2,0,10,574,1,8,579,457,131,1,38,140,198,115,72,22
1995-07,650,141,508,0,2,87,41,180,154,185,427,11,60,15,129,7,0,2,0,11,633,2,9,639,499,150,1,42,155,215,128,81,25
1995-08,687,147,539,0,2,88,43,190,170,193,451,12,66,15,135,7,0,2,0,11,669,2,9,675,530,156,1,45,162,225,139,86,26
1995-09,710,149,560,0,2,91,45,197,176,198,468,12,69,15,137,8,0,2,0,11,692,2,9,698,545,164,1,46,170,235,141,88,26
1995-10,755,156,598,0,2,93,49,210,193,207,500,13,73,17,142,9,0,2,0,11,737,2,10,742,583,171,2,50,190,248,147,89,26
1995-11,799,162,636,0,2,97,52,217,204,226,535,15,76,18,145,9,0,2,0,12,779,3,10,786,623,175,2,54,204,261,153,95,26
1995-12,822,165,656,0,2,101,52,220,213,233,554,15,78,18,147,9,0,2,0,13,801,3,10,809,642,179,2,59,211,268,157,95,26
1996-01,850,166,683,0,2,103,56,231,219,238,573,17,82,18,150,9,0,2,0,13,828,4,10,837,666,183,2,60,222,279,161,96,26
1996-02,869,167,701,0,2,105,56,238,225,242,584,18,85,18,154,9,0,2,0,14,846,4,10,856,683,185,2,62,230,285,164,96,26
1996-03,895,169,725,0,2,107,57,249,229,250,598,20,90,19,158,9,0,2,0,15,871,4,10,882,705,189,2,64,239,293,171,96,26
1996-04,917,173,743,0,2,113,57,253,237,254,615,20,92,20,160,9,0,2,0,16,892,4,10,904,718,198,2,65,248,298,172,99,29
1996-05,932,177,754,0,2,113,59,258,240,259,623,20,94,21,164,9,0,2,0,17,905,5,11,918,732,199,3,65,252,304,175,100,29
1996-06,968,185,782,0,2,116,61,276,248,264,642,21,97,22,176,9,0,2,0,17,941,5,11,954,757,210,3,68,268,312,182,101,30
1996-07,1042,192,849,0,2,129,69,299,264,278,682,22,109,25,194,9,0,2,0,20,1012,5,12,1027,813,228,3,80,288,335,192,109,31
1996-08,1065,196,868,0,2,133,71,307,269,282,696,22,116,25,196,9,0,2,0,20,1035,5,12,1050,833,231,3,80,296,345,194,112,31
1996-09,1072,197,874,0,2,134,72,308,271,284,700,23,116,25,198,9,0,2,0,20,1042,5,12,1057,840,231,3,81,301,346,194,112,31
1996-10,1513,276,1236,0,3,195,101,433,378,402,989,29,170,36,274,14,0,4,0,26,1468,11,19,1490,1188,324,5,112,411,484,288,158,51
1996-11,1651,304,1346,0,4,201,111,476,414,444,1076,31,184,43,299,17,0,5,0,31,1599,12,19,1628,1287,363,5,123,442,529,313,172,63
1996-12,1760,331,1428,0,4,216,118,507,447,467,1145,33,197,51,316,17,0,5,0,35,1702,14,21,1735,1359,400,5,130,469,561,334,185,72
1997-01,1835,346,1488,0,4,225,121,529,469,486,1192,38,212,53,322,17,0,6,0,38,1773,14,21,1810,1421,413,5,133,486,590,346,194,77
1997-02,1878,351,1526,0,4,227,127,538,483,498,1216,40,222,53,328,18,0,6,0,40,1814,14,22,1852,1456,421,5,135,493,607,357,197,80
1997-03,1905,353,1551,0,4,228,128,546,492,506,1233,40,229,53,331,18,0,6,0,41,1840,14,23,1878,1473,431,5,137,495,619,362,203,80
1997-04,1926,360,1565,0,4,233,128,549,498,513,1245,40,232,55,335,18,0,6,0,41,1861,14,23,1899,1491,434,5,138,500,628,363,206,82
1997-05,1962,369,1592,0,6,240,132,559,505,519,1277,40,234,55,337,18,0,6,0,43,1894,15,23,1935,1514,447,5,140,508,638,372,211,84
1997-06,2000,376,1623,0,6,243,134,575,514,527,1304,41,239,56,341,18,0,6,0,47,1928,15,24,1972,1540,459,5,142,518,653,377,215,86
1997-07,2016,377,1638,0,7,244,136,582,516,530,1315,41,242,56,343,18,0,6,0,49,1942,15,24,1988,1553,462,5,143,523,659,380,216,86
1997-08,2037,380,1656,0,7,247,137,585,522,538,1332,41,244,57,344,18,0,6,0,49,1963,15,24,2009,1566,470,5,144,527,666,386,218,87
1997-09,2048,381,1666,0,7,249,139,589,523,540,1340,41,245,59,344,18,0,6,0,50,1973,15,24,2020,1574,473,5,145,529,670,389,219,87
1997-10,2055,382,1672,0,7,249,139,591,526,542,1342,41,246,60,347,18,0,6,0,51,1979,15,24,2027,1580,474,5,147,530,673,390,219,87
1997-11,2057,382,1674,0,7,249,139,592,527,542,1343,42,246,60,347,18,0,6,0,51,1981,15,24,2029,1581,475,5,147,530,674,390,219,88
1997-12,2064,384,1679,0,7,251,139,593,531,542,1349,42,246,61,347,18,0,6,0,51,1988,15,24,2036,1585,478,5,147,532,677,390,220,89
1998-01,2066,385,1680,0,7,251,139,593,532,543,1350,42,246,61,348,18,0,6,0,51,1990,15,24,2038,1587,478,5,148,532,678,390,220,89
1998-02,2176,420,1754,0,7,260,148,625,556,579,1423,44,261,63,365,19,0,6,0,53,2097,16,26,2146,1668,507,5,156,553,711,415,238,94
1998-03,2268,437,1829,0,7,272,151,648,583,606,1479,47,269,70,383,19,0,6,0,56,2186,16,27,2237,1736,531,5,161,568,740,435,250,105
1998-04,2370,457,1911,0,9,280,162,672,619,627,1547,51,282,75,393,21,0,6,0,59,2285,16,27,2339,1812,557,6,168,590,771,458,261,112
1998-05,2469,484,1983,0,10,291,170,697,652,648,1606,53,294,81,413,21,0,6,0,59,2382,18,28,2437,1882,586,6,173,606,803,483,272,122
1998-06,2544,499,2043,0,10,297,178,720,667,671,1651,57,306,83,425,21,0,7,0,61,2453,19,28,2512,1931,612,6,177,620,821,505,282,128
1998-07,2623,516,2105,0,11,309,183,737,685,697,1697,58,322,87,437,21,0,8,0,62,2529,20,30,2589,1988,634,6,181,628,839,530,298,136
1998-08,2661,526,2133,0,12,313,185,746,695,709,1720,59,327,90,441,23,0,8,0,62,2567,20,32,2625,2015,645,6,182,637,851,537,304,139
1998-09,2724,541,2181,0,12,319,191,758,709,734,1759,59,337,93,451,24,0,8,0,64,2625,23,33,2687,2066,657,6,188,652,870,550,309,143
1998-10,2751,550,2199,0,13,320,192,764,719,742,1777,59,341,95,454,24,0,8,0,65,2651,23,33,2714,2084,666,6,191,656,878,555,315,144
1998-11,2772,557,2213,0,13,322,193,770,726,747,1789,59,344,97,458,24,0,8,0,66,2671,23,33,2735,2101,670,6,192,660,885,561,317,145
1998-12,2790,558,2230,0,13,325,194,773,729,755,1799,59,348,98,461,24,0,8,0,67,2688,23,33,2753,2115,674,6,193,663,892,567,317,146
1999-01,2806,560,2244,0,13,327,197,777,733,758,1806,60,351,99,464,25,0,8,0,69,2702,23,33,2769,2129,676,6,195,666,899,571,317,146
1999-02,2818,560,2256,0,14,328,198,778,736,763,1814,62,352,100,464,25,0,8,0,69,2714,23,33,2781,2136,681,6,195,669,903,574,318,147
1999-03,2841,563,2276,0,14,331,199,785,742,769,1825,62,356,101,471,25,0,8,0,69,2737,23,34,2803,2154,686,6,197,677,910,578,319,148
1999-04,2867,568,2297,0,14,336,199,793,749,775,1843,63,359,102,474,25,0,8,0,70,2762,23,34,2829,2176,690,6,198,683,919,585,322,148
1999-05,2890,573,2315,0,14,336,201,800,755,783,1858,64,361,102,478,26,0,8,0,70,2784,24,34,2852,2194,695,6,199,688,925,590,327,149
1999-06,2908,576,2330,0,14,337,203,803,759,791,1869,64,364,102,482,26,0,8,0,72,2800,24,35,2869,2210,697,6,202,692,927,596,329,149
1999-07,2937,586,2349,0,14,338,204,808,767,805,1886,64,370,102,486,28,0,8,0,72,2827,26,35,2898,2232,704,6,203,697,931,606,336,151
1999-08,2986,609,2375,0,14,340,204,814,783,830,1918,65,374,104,496,28,0,8,0,73,2874,27,35,2947,2273,712,6,203,706,943,620,346,155
1999-09,3012,622,2388,0,14,343,205,819,789,841,1934,65,379,105,499,28,0,8,0,73,2900,27,37,2971,2295,716,6,203,711,951,628,348,158
1999-10,3039,633,2404,0,14,344,206,828,793,853,1944,65,385,106,509,28,0,8,0,73,2927,27,38,2997,2316,722,6,206,718,958,634,349,161
1999-11,3067,635,2430,0,14,347,206,836,803,860,1962,65,391,106,512,29,0,8,0,73,2955,27,39,3024,2338,728,6,209,728,966,640,349,161
1999-12,3084,636,2446,0,14,348,208,838,809,866,1971,65,391,106,520,29,0,8,0,74,2970,28,39,3041,2349,734,6,210,737,969,642,350,161
2000-01,3107,639,2466,0,14,350,211,841,816,874,1987,65,393,107,524,29,0,8,0,75,2992,28,40,3063,2364,742,6,212,742,975,646,354,163
2000-02,3126,643,2481,0,14,350,212,846,821,882,1999,65,395,108,527,30,0,8,0,76,3009,29,40,3082,2379,746,6,212,750,978,651,356,163
2000-03,3143,652,2489,0,14,354,212,849,824,889,2010,65,396,109,531,30,0,8,0,76,3026,29,40,3099,2394,748,6,213,753,983,658,357,163
2000-04,3204,669,2533,0,14,367,219,865,837,900,2050,68,405,113,536,30,0,8,0,78,3085,29,41,3159,2437,766,6,213,755,1004,677,369,169
2000-05,3251,679,2570,0,14,375,221,882,842,915,2079,68,412,116,544,30,0,9,0,78,3130,30,42,3205,2469,781,6,216,762,1014,691,378,173
2000-06,3300,689,2608,0,14,381,224,896,853,929,2109,70,421,118,549,31,0,10,0,78,3178,30,42,3254,2503,796,6,218,768,1020,709,391,177
2000-07,3325,691,2630,0,14,384,225,909,856,934,2127,70,423,119,552,32,0,10,0,78,3203,30,42,3279,2518,806,6,218,771,1027,719,394,179
2000-08,3343,695,2644,0,14,386,227,912,860,941,2140,70,425,119,554,33,0,10,0,79,3220,30,43,3296,2533,809,6,220,773,1030,725,397,181
2000-09,3348,696,2648,0,14,386,227,914,862,942,2143,70,427,119,554,33,0,10,0,79,3225,30,43,3301,2537,810,6,220,775,1031,726,397,182
2000-10,3368,698,2666,0,14,393,230,917,865,946,2161,70,428,119,555,33,0,10,0,79,3245,30,43,3321,2552,815,6,221,781,1034,734,398,183
2000-11,3374,699,2671,0,14,393,230,921,866,947,2163,70,429,120,557,33,0,10,0,79,3251,30,43,3327,2556,817,6,221,783,1037,734,398,184
2000-12,3377,700,2673,0,14,393,230,922,866,949,2166,70,429,120,557,33,0,10,0,80,3253,30,43,3330,2558,818,6,221,784,1037,735,398,185
2001-01,3402,707,2691,0,14,397,231,927,871,959,2182,70,432,120,563,33,0,10,0,81,3277,30,43,3355,2578,823,6,224,788,1042,743,402,186
2001-02,3451,728,2719,0,14,407,236,939,885,967,2219,70,438,120,569,33,0,10,0,82,3325,30,44,3403,2611,839,6,224,792,1050,762,417,189
2001-03,3487,746,2737,0,14,410,237,946,894,983,2249,70,440,120,573,33,0,10,0,82,3361,30,44,3439,2641,845,6,224,798,1056,778,421,193
2001-04,3514,756,2754,0,14,417,238,948,901,993,2260,70,442,121,585,34,0,10,0,82,3388,30,44,3466,2661,852,6,227,804,1062,785,422,197
2001-05,3549,773,2772,0,14,423,240,959,909,1001,2284,70,446,122,591,34,0,10,0,82,3422,31,46,3499,2691,857,6,228,813,1075,791,428,197
2001-06,3570,780,2786,0,14,426,241,965,915,1006,2296,71,448,123,596,34,0,10,0,82,3443,31,46,3520,2702,867,6,229,818,1083,793,429,201
2001-07,3596,787,2805,0,14,428,244,967,923,1017,2311,71,456,124,598,34,0,10,0,82,3468,32,47,3545,2720,875,6,230,822,1089,802,435,201
2001-08,3601,788,2809,0,14,429,244,968,925,1018,2314,71,457,124,599,34,0,10,0,82,3473,32,47,3550,2724,876,6,230,823,1093,802,435,201
2001-09,3607,792,2811,0,14,429,244,971,926,1020,2319,71,457,124,600,34,0,10,0,82,3479,32,47,3556,2727,879,6,230,823,1097,804,435,201
2001-10,3638,800,2834,0,14,431,245,980,931,1034,2341,72,460,126,603,34,0,10,0,83,3508,33,49,3585,2751,886,6,232,829,1108,811,439,201
2001-11,3663,807,2852,0,14,435,246,981,941,1043,2355,72,463,128,609,34,0,10,0,83,3533,33,49,3610,2766,896,6,234,831,1116,816,444,204
2001-12,3710,820,2886,0,14,437,250,991,954,1061,2382,72,466,129,624,35,0,11,0,83,3579,33,50,3656,2801,908,6,238,839,1125,829,455,206
2002-01,3738,826,2908,0,14,439,254,996,957,1075,2401,72,469,130,628,36,0,11,0,83,3606,33,50,3683,2824,913,6,239,843,1136,835,460,207
2002-02,3765,835,2926,0,14,441,255,1003,965,1084,2419,72,470,132,634,36,0,11,0,83,3633,33,50,3710,2845,919,6,241,846,1146,841,463,210
2002-03,3789,841,2944,0,14,444,255,1006,973,1094,2429,72,475,133,641,36,0,11,0,83,3656,34,50,3734,2866,922,6,243,852,1155,846,464,211
2002-04,3823,850,2969,0,14,449,256,1015,981,1105,2455,73,477,134,645,36,0,11,0,83,3690,34,50,3768,2892,930,6,247,858,1162,858,469,211
2002-05,3848,856,2988,0,14,450,256,1018,992,1115,2470,73,481,134,650,37,0,12,0,85,3712,34,50,3793,2913,934,6,249,865,1170,865,470,211
2002-06,3880,866,3010,0,14,451,256,1027,1001,1128,2489,75,485,135,655,38,0,12,0,86,3742,35,51,3824,2940,939,6,251,873,1177,877,471,213
2002-07,3912,876,3032,0,14,456,256,1033,1010,1140,2508,75,491,136,661,38,0,12,0,86,3774,35,51,3856,2966,945,6,256,876,1184,885,478,215
2002-08,3942,880,3058,0,14,457,256,1040,1019,1153,2525,75,496,137,668,38,0,13,0,86,3803,35,52,3885,2992,949,6,257,881,1198,893,480,215
2002-09,3970,890,3076,0,14,457,256,1047,1029,1164,2539,76,500,138,675,39,0,13,0,86,3830,36,52,3913,3011,958,6,260,882,1207,904,484,215
2002-10,3989,895,3090,0,14,457,256,1053,1033,1173,2549,76,503,138,681,39,0,13,0,86,3849,36,53,3931,3028,960,6,261,888,1209,912,486,215
2002-11,4020,905,3111,0,14,457,259,1054,1045,1188,2568,76,505,139,690,39,0,13,0,89,3876,37,53,3962,3054,965,6,266,889,1221,923,488,215
2002-12,4045,912,3129,0,14,458,261,1054,1056,1199,2587,76,508,139,693,39,0,13,0,90,3900,37,53,3987,3074,970,6,267,892,1231,927,491,218
2003-01,4079,922,3153,0,14,462,264,1059,1067,1210,2611,76,512,139,699,39,0,13,0,90,3934,37,53,4021,3102,976,6,270,894,1244,940,494,218
2003-02,4134,931,3199,0,14,466,268,1072,1080,1231,2651,77,518,140,706,39,0,13,0,90,3989,37,54,4075,3141,992,6,272,908,1265,949,500,221
2003-03,4176,940,3232,0,14,468,271,1080,1091,1249,2678,77,520,144,715,39,0,13,0,91,4029,38,54,4117,3171,1004,6,274,917,1279,958,505,224
2003-04,4223,952,3267,0,14,472,275,1090,1105,1264,2710,78,528,144,721,39,0,14,0,93,4072,39,56,4162,3207,1015,6,280,925,1295,968,512,224
2003-05,4254,959,3291,0,14,474,277,1093,1116,1276,2731,78,528,147,728,39,0,14,0,94,4102,39,56,4193,3232,1021,6,282,929,1306,978,515,225
2003-06,4272,965,3303,0,14,475,277,1098,1122,1282,2746,78,529,147,730,39,0,14,0,94,4120,39,56,4211,3246,1025,6,284,931,1313,981,518,225
2003-07,4288,969,3315,0,14,477,278,1100,1129,1286,2758,78,529,147,734,39,0,14,0,94,4136,39,56,4227,3260,1027,6,285,937,1318,984,518,226
2003-08,4301,975,3322,0,14,478,278,1102,1133,1292,2769,78,529,147,736,39,0,14,0,94,4149,39,56,4240,3270,1030,6,286,938,1320,990,521,226
2003-09,4336,984,3348,0,14,479,279,1107,1150,1303,2790,78,532,148,746,39,0,14,0,95,4183,39,56,4275,3296,1039,6,292,941,1330,1000,524,229
2003-10,4368,994,3369,0,14,481,281,1112,1163,1313,2811,79,536,149,751,39,0,14,0,96,4213,40,56,4307,3322,1045,6,295,947,1339,1009,528,230
2003-11,4392,1005,3382,0,14,482,282,1117,1171,1322,2831,79,537,149,754,39,0,14,0,96,4237,40,57,4330,3343,1048,6,297,954,1345,1016,530,230
2003-12,4414,1013,3396,0,14,483,283,1120,1177,1333,2847,79,542,149,754,40,0,14,0,96,4259,40,57,4352,3361,1052,6,299,958,1351,1020,536,230
2004-01,4422,1016,3401,0,14,483,283,1120,1180,1338,2852,79,544,149,755,40,0,14,0,96,4267,40,57,4360,3368,1053,6,299,958,1355,1022,538,230
2004-02,4425,1016,3404,0,14,483,283,1120,1181,1340,2853,79,546,149,755,40,0,14,0,96,4270,40,57,4363,3371,1053,6,299,958,1355,1025,538,230
2004-03,4473,1031,3437,0,14,488,284,1127,1196,1360,2881,79,550,150,769,41,0,14,0,96,4317,41,57,4411,3411,1061,6,303,963,1369,1045,542,231
2004-04,4487,1037,3445,0,14,488,285,1128,1200,1368,2890,79,552,150,772,41,0,14,0,96,4330,42,57,4425,3423,1063,6,304,966,1373,1049,544,231
2004-05,4546,1048,3492,0,15,493,285,1135,1224,1390,2929,79,557,150,787,41,0,14,0,98,4386,43,58,4483,3473,1072,6,309,986,1392,1061,546,232
2004-06,4590,1054,3530,0,15,495,286,1146,1238,1406,2951,80,559,151,805,41,0,14,0,99,4429,43,58,4527,3509,1080,6,315,997,1406,1069,549,234
2004-07,4599,1058,3535,0,15,495,286,1147,1242,1410,2957,80,561,151,806,41,0,14,0,100,4437,43,58,4536,3518,1080,6,315,1002,1408,1071,549,234
2004-08,4672,1072,3594,0,15,501,290,1161,1262,1439,3006,80,565,151,826,41,0,14,0,105,4504,44,59,4608,3575,1096,6,326,1025,1421,1091,554,235
2004-09,4750,1096,3647,0,15,503,292,1169,1289,1478,3052,81,572,151,849,41,0,15,0,106,4578,46,61,4684,3637,1112,6,335,1050,1440,1108,561,236
2004-10,4790,1107,3676,0,15,505,293,1177,1305,1491,3079,81,580,151,854,41,0,15,0,106,4618,46,61,4724,3668,1121,6,337,1058,1452,1123,564,236
2004-11,4834,1118,3709,0,15,506,296,1187,1319,1507,3106,82,582,151,868,41,0,15,0,106,4658,50,62,4767,3705,1128,6,342,1074,1460,1134,566,238
2004-12,4877,1128,3742,0,15,509,296,1191,1334,1528,3131,82,586,151,882,41,0,15,0,107,4699,51,65,4807,3741,1135,7,347,1085,1471,1143,571,239
2005-01,4894,1133,3754,0,15,510,297,1194,1338,1536,3138,82,590,151,888,41,0,16,0,108,4714,51,65,4824,3758,1135,7,351,1089,1477,1146,571,239
2005-02,4961,1149,3805,0,15,512,300,1209,1355,1566,3183,83,596,152,902,41,0,17,0,109,4779,51,65,4891,3817,1143,7,355,1102,1493,1172,577,241
2005-03,5042,1178,3857,0,16,514,303,1222,1378,1605,3237,84,602,153,921,41,0,17,0,109,4858,53,66,4971,3881,1160,7,365,1119,1509,1195,589,244
2005-04,5099,1188,3904,0,16,519,304,1231,1399,1626,3277,84,606,154,932,42,0,17,0,109,4914,54,67,5027,3927,1171,8,370,1134,1523,1211,595,244
2005-05,5172,1201,3964,0,16,520,305,1251,1422,1654,3323,85,612,154,952,42,0,17,0,109,4985,56,68,5099,3982,1189,8,378,1149,1547,1228,602,246
2005-06,5207,1214,3985,0,16,522,305,1253,1435,1672,3347,85,614,155,960,42,0,18,0,109,5019,56,70,5132,4009,1197,8,380,1157,1556,1238,608,246
2005-07,5213,1215,3990,0,16,522,306,1253,1437,1675,3351,85,614,155,962,42,0,18,0,109,5025,56,70,5138,4014,1198,8,382,1159,1557,1239,608,246
